"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,14345.23,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,15191.21,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,22774.28,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,22998.63,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,23298.72,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,23707.64,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,23899.87,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,23534.04,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,24314.55,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,23888.7,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,24196.01,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,24074.45,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,24256.61,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,24586.97,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,24659.83,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,24736.85,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,25038.59,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,25328.81,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25554.73,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,25928.02,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,26344.97,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,26743.1,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,6.77,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,6.7,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,6.64,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,6.81,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,7.12,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,7.26,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,7.46,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,7.54,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,7.86,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,7.83,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,7.68,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,7.5,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,7.44,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,7.45,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.53,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.62,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.07,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,8.26,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,10.02,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,10.63,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,1.03,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,1.1,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.17,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,1.53,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.6,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,1.58,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,1.57,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,1.55,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,1.59,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,1.6,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,1.65,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,1.7,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,1.73,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,1.75,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.83,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.26,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.19,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,2.15,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,2.35,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,2.41,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,21813.42,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,21770.06,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,22584.62,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,22551.76,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,23005.19,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,22872.59,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,23301.29,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,23004.08,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,23962.56,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,23819.35,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,23909.21,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,23871.14,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,23783.83,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,24710.59,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,24618.54,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,24547.15,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25078.53,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,24958.28,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,25385.17,,
"LUX","Luxembourg","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,25808.14,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,15221.39,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15333.48,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,15920.81,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,16471.81,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,16915.52,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,17556.97,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18723.99,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,19341.3,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,19842.52,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,19885.81,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,19492.51,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,19940.33,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,20177.33,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,20569.77,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,21235.75,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,21820.74,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,22132.46,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,22568.52,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,23357.85,,
"NZL","New Zealand","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,25088.55,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,14792.49,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15824.3,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,16185.91,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,17123.52,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,17921.41,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,18283.78,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18798.63,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,18773.57,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,18988.64,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,18799.26,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,18513.95,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,18475.76,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,18394.54,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,18536.88,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,19021.2,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,20701.78,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,20812.93,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,21225.48,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,21860.55,,
"GBR","United Kingdom","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,22912.82,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,0.48,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,0.47,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,0.48,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,0.48,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.49,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.52,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,0.55,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,0.61,,
"MEX","Mexico","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,0.71,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,9857.3,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,10018.84,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,10172.95,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,10392.84,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,10594.63,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,10900.79,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,11162.84,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,11382.63,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,11891.08,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,11556.38,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,11273.71,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,9302.44,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,9079.91,,
"GRC","Greece","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,9200.54,,
